track_name,lyrics_text
Sour Sour Times,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now

'Cause nobody loves me, it's true
Not like you do

Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows, no need to lie, enjoy
Take a ride, take a shot now

'Cause nobody loves mе, it's true
Not like you do

Who am I, what and why?
'Cause all I havе left
Is my memories of yesterday
Oh, these sour times

'Cause nobody loves me, it's true
Not like you do

After time, the bitter taste
Of innocence, descent, or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide

‘Cause nobody loves me, it’s true
Not like you do

'Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Sour Times - Lot More Mix,
Sheared Times,null
Sour Times - Airbus Reconstruction,"To pretend no one can find
The fallacies of morning rose
Forbidden fruit, hidden eyes
Courtesies that I despise in me
Take a ride, take a shot now
Cause nobody loves me, it's true
Not like you do
Covered by the blind belief
That fantasies of sinful screens
Bear the facts, assume the dye
End the vows no need to lie, enjoy
Take a ride, take a shot now
Cause nobody loves me, it's true
Not like you do
Who am I, what and why
Cause all I have left is my memories of yesterday
Ohh these sour times
Cause nobody loves me, it's true
Not like you do
After time, the bitter taste
Of innocence, descent or race
Scattered seeds, buried lives
Mysteries of our disguise revolve
Circumstance will decide
Cause nobody loves me, it's true
Not like you
Nobody loves me, it's true
Not like you do"
Theme From 'To Kill A Dead Man',
Numb,"I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit

'Cause the child rose as life
Tried to reveal what I could feel

I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy

'Cause the child rose as light
Tried to reveal what I could feel
And this loneliness
It just won't leave me alone

I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear

'Cause the child rose as life
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone

A lady of woe
A lady of woe"
Numbed In Moscow,"I'm ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit
'Cause the child roses like
Try to reveal what I could feel
I can't understand myself anymore
'cause I'm still feeling lonely
Feeling so unholy
'Cause the child roses like
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
I'm fooling somebody
A faithless path I roam
Deceiving to breathe this secretly
A silence, this silence I can't bear
'Cause the child roses like
Tries to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone
A lady of war
A lady of war"
Revenge Of The Number,"And ever so lost
I can't find my way
Been searching, but I have never seen
A turning, a turning from deceit
'Cause the child roses like
Try to reveal what I could feel
I can't understand myself anymore
'Cause I'm still feeling lonely
Feeling so unholy
'Cause the child roses like
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
I'm fooling somebody
A faithless path to roam
Deceiving to breath this secretly
A silence, this silence I can't bear
'Cause a child roses light
Try to reveal what I could feel
And this loneliness
It just won't leave me alone, oh no
And this loneliness
It just won't leave me alone
A lady of war
A lady of war"
Numb-Earth Linger,
A Tribute To Monk & Canatella,
